,CVE_ENT,CVE_MUN,NOM_MUN,IDMUN,Y,IDH,IRS,c_i,Pob2010,Mun_cov
93,7,46,Jiquipilas,7_46,3,0.666,-0.11869,23811.57865,37818,Jiquipilas
94,7,7,Amatenango del Valle,7_7,NA,0.489,2.13842,5495.464025,8728,Amatenango del Valle
95,7,93,Tenejapa,7_93,NA,0.511,1.39868,25354.18714,40268,Tenejapa
96,7,60,Ocotepec,7_60,NA,0.494,1.34387,7478.817792,11878,Ocotepec
97,7,51,Mapastepec,7_51,NA,0.64,0.0423,27649.21078,43913,Mapastepec
98,7,22,Chalchihuit√°n,7_22,NA,0.496,3.09202,8831.905806,14027,Chalchihuit·n
99,7,65,Palenque,7_65,1,0.63,0.37303,69837.97877,110918,Palenque
100,7,10,Bejucal de Ocampo,7_10,NA,0.564,0.75988,4799.716116,7623,Bejucal de Ocampo
101,7,94,Teopisca,7_94,NA,0.545,1.16721,23678.72543,37607,Teopisca
102,7,73,Ray√≥n,7_73,NA,0.599,0.46461,5667.984321,9002,RayÛn
103,7,118,San Andr√©s Duraznal,7_118,NA,0.51,1.01197,2861.696149,4545,San AndrÈs Duraznal
104,7,53,Mazapa de Madero,7_53,NA,0.602,0.40781,4906.754256,7793,Mazapa de Madero
105,7,12,Berrioz√°bal,7_12,NA,0.617,0.71561,27187.05787,43179,Berrioz·bal
106,7,28,Chiapilla,7_28,NA,0.583,0.00529,3403.18321,5405,Chiapilla
107,7,45,Ixtapangajoya,7_45,NA,0.579,0.63691,3449.146646,5478,Ixtapangajoya
108,7,69,Pijijiapan,7_69,NA,0.61,-0.01235,31531.54708,50079,Pijijiapan
109,7,41,La Independencia,7_41,NA,0.538,1.0381,25982.56398,41266,La Independencia
110,7,111,Zinacant√°n,7_111,NA,0.461,2.10711,22974.79225,36489,Zinacant·n
111,7,98,Totolapa,7_98,NA,0.538,0.52549,4013.930243,6375,Totolapa
112,7,11,Bella Vista,7_11,NA,0.588,0.37537,12140.01396,19281,Bella Vista
113,7,8,Angel Albino Corzo,7_8,NA,0.588,0.42589,16765.95051,26628,Angel Albino Corzo
114,7,21,Copainal√°,7_21,NA,0.647,0.05896,13253.84025,21050,Copainal·
115,7,115,Maravilla Tenejapa,7_115,NA,0.501,1.3922,7209.96317,11451,Maravilla Tenejapa
116,7,70,El Porvenir,7_70,NA,0.596,0.63266,8311.826374,13201,El Porvenir
117,7,54,Mazat√°n,7_54,NA,0.662,0.33935,16731.32052,26573,Mazat·n
118,7,47,Jitotol,7_47,NA,0.56,0.59485,11763.49156,18683,Jitotol
119,7,116,Marqu√©s de Comillas,7_116,NA,0.538,0.74156,6205.693564,9856,MarquÈs de Comillas
120,7,62,Ostuac√°n,7_62,NA,0.605,0.55724,10745.9996,17067,Ostuac·n
121,7,102,Tuxtla Chico,7_102,NA,0.696,0.09849,23760.57813,37737,Tuxtla Chico
122,7,42,Ixhuat√°n,7_42,NA,0.58,0.42624,6446.844197,10239,Ixhuat·n
123,7,59,Ocosingo,7_59,1,0.595,1.20934,125220.1419,198877,Ocosingo
124,7,117,Montecristo de Guerrero,7_117,NA,0.554,0.52668,4344.489204,6900,Montecristo de Guerrero
125,7,39,Huitiup√°n,7_39,NA,0.524,1.18074,14189.47952,22536,Huitiup·n
126,7,64,Oxchuc,7_64,NA,0.588,1.86965,27294.72565,43350,Oxchuc
127,7,2,Acala,7_2,NA,0.621,0.0275,18226.07666,28947,Acala
128,7,57,Motozintla,7_57,NA,0.626,0.20763,43519.81874,69119,Motozintla
129,7,119,Santiago el Pinar,7_119,NA,0.499,1.24597,2043.169198,3245,Santiago el Pinar
130,7,66,Pantelh√≥,7_66,NA,0.49,2.23386,12963.578,20589,PantelhÛ
131,7,88,Sunuapa,7_88,NA,0.613,0.62194,1407.23672,2235,Sunuapa
132,7,26,Chenalh√≥,7_26,NA,0.515,2.16584,22736.7898,36111,ChenalhÛ
133,7,6,Amatenango de la Frontera,7_6,NA,0.592,0.40664,18603.85833,29547,Amatenango de la Frontera
134,7,32,Escuintla,7_32,NA,0.619,0.29612,18931.89875,30068,Escuintla
135,7,106,Venustiano Carranza,7_106,2,0.573,0.31928,38622.50902,61341,Venustiano Carranza
136,7,112,San Juan Cancuc,7_112,NA,0.498,2.42324,18269.52156,29016,San Juan Cancuc
137,7,114,Benem√©rito de las Am√©ricas,7_114,NA,0.598,0.59931,10881.37137,17282,BenemÈrito de las AmÈricas
138,7,49,Larr√°inzar,7_49,NA,0.524,1.54953,12812.46533,20349,Larr·inzar
139,7,20,La Concordia,7_20,NA,0.582,0.43333,27755.61929,44082,La Concordia
140,7,78,San Crist√≥bal de las Casas,7_78,NA,0.712,-0.0952,117060.0579,185917,San CristÛbal de las Casas
141,7,79,San Fernando,7_79,NA,0.589,0.08312,20815.77001,33060,San Fernando
142,7,110,San Lucas,7_110,NA,0.519,0.69102,4239.969608,6734,San Lucas
143,7,81,Simojovel,7_81,NA,0.547,0.96826,25372.44659,40297,Simojovel
144,7,38,Huixt√°n,7_38,NA,0.55,1.79991,13541.58396,21507,Huixt·n
145,7,105,Uni√≥n Ju√°rez,7_105,NA,0.67,-0.05959,8870.943245,14089,UniÛn Ju·rez
146,7,56,Mitontic,7_56,NA,0.448,2.51022,7024.850152,11157,Mitontic
147,7,72,Pueblo Nuevo Solistahuac√°n,7_72,NA,0.562,0.97719,19565.94232,31075,Pueblo Nuevo Solistahuac·n
148,7,44,Ixtapa,7_44,NA,0.586,0.54435,15436.78867,24517,Ixtapa
149,7,74,Reforma,7_74,NA,0.732,-0.79855,25633.11594,40711,Reforma
150,7,89,Tapachula,7_89,2,0.715,-0.4116,201767.5232,320451,Tapachula
151,7,48,Ju√°rez,7_48,NA,0.658,-0.15257,13275.24788,21084,Ju·rez
152,7,1,Acacoyagua,7_1,NA,0.615,0.14213,10586.70166,16814,Acacoyagua
153,7,109,Yajal√≥n,7_109,NA,0.608,1.19277,21425.25777,34028,YajalÛn
154,7,9,Arriaga,7_9,5,0.686,-0.39584,25211.88938,40042,Arriaga
155,7,52,Las Margaritas,7_52,NA,0.549,1.45624,70194.35281,111484,Las Margaritas
156,7,77,Salto de Agua,7_77,NA,0.578,0.99933,36048.55658,57253,Salto de Agua
157,7,14,El Bosque,7_14,NA,0.526,1.0844,11685.41669,18559,El Bosque
158,7,61,Ocozocoautla de Espinosa,7_61,NA,0.607,0.36107,51667.31008,82059,Ocozocoautla de Espinosa
159,7,33,Francisco Le√≥n,7_33,NA,0.534,0.64142,4407.452815,7000,Francisco LeÛn
160,7,101,Tuxtla Guti√©rrez,7_101,2,0.801,-1.13988,348424.2563,553374,Tuxtla GutiÈrrez
161,7,75,Las Rosas,7_75,NA,0.547,0.91789,16074.61005,25530,Las Rosas
162,7,13,Bochil,7_13,NA,0.631,0.51619,19293.30988,30642,Bochil
163,7,19,Comit√°n de Dom√≠nguez,7_19,1,0.682,-0.19061,88786.8777,141013,Comit·n de DomÌnguez
164,7,80,Siltepec,7_80,NA,0.564,0.51337,24016.21039,38143,Siltepec
165,7,83,Socoltenango,7_83,NA,0.574,0.19526,10782.51849,17125,Socoltenango
166,7,107,Villa Corzo,7_107,NA,0.63,0.36358,46893.40905,74477,Villa Corzo
167,7,92,Tecpat√°n,7_92,NA,0.594,0.40367,25843.4144,41045,Tecpat·n
168,7,5,Amat√°n,7_5,NA,0.518,1.13013,13395.50838,21275,Amat·n
169,7,85,Soyal√≥,7_85,NA,0.592,-0.00272,6132.655775,9740,SoyalÛ
170,7,55,Metapa,7_55,NA,0.666,-0.20723,3168.958574,5033,Metapa
171,7,30,Chicomuselo,7_30,NA,0.583,0.4834,19842.98221,31515,Chicomuselo
172,7,15,Cacahoat√°n,7_15,NA,0.681,-0.10813,27584.9879,43811,Cacahoat·n
173,7,86,Suchiapa,7_86,NA,0.664,-0.37238,13250.69207,21045,Suchiapa
174,7,43,Ixtacomit√°n,7_43,NA,0.633,0.03693,6407.177121,10176,Ixtacomit·n
175,7,18,Coapilla,7_18,NA,0.584,0.48909,5316.647368,8444,Coapilla
176,7,3,Acapetahua,7_3,NA,0.618,0.41086,17365.36409,27580,Acapetahua
177,7,91,Tapilula,7_91,NA,0.638,-0.12497,7662.671538,12170,Tapilula
178,7,113,Aldama,7_113,NA,0.517,1.34734,3193.514383,5072,Aldama
179,7,76,Sabanilla,7_76,NA,0.521,1.07236,15858.64487,25187,Sabanilla
180,7,103,Tuzant√°n,7_103,2,0.614,0.35062,17716.07141,28137,Tuzant·n
181,7,67,Pantepec,7_67,NA,0.523,0.8445,6844.144586,10870,Pantepec
182,7,71,Villa Comaltitl√°n,7_71,NA,0.616,0.49804,17566.21801,27899,Villa Comaltitl·n
183,7,34,Frontera Comalapa,7_34,NA,0.631,-0.06205,42193.17544,67012,Frontera Comalapa
184,7,63,Osumacinta,7_63,NA,0.639,-0.52739,2387.580154,3792,Osumacinta
185,7,25,Chapultenango,7_25,NA,0.615,0.72659,4616.492006,7332,Chapultenango
186,7,35,Frontera Hidalgo,7_35,NA,0.652,0.06809,7974.341415,12665,Frontera Hidalgo
187,7,104,Tzimol,7_104,NA,0.572,0.24414,8820.572356,14009,Tzimol
188,7,36,La Grandeza,7_36,NA,0.599,0.58397,4578.713839,7272,La Grandeza
189,7,82,Sital√°,7_82,NA,0.473,2.84137,7725.005513,12269,Sital·
190,7,24,Chanal,7_24,NA,0.548,1.68946,6810.773872,10817,Chanal
191,7,37,Huehuet√°n,7_37,NA,0.682,0.48441,21057.55028,33444,Huehuet·n
192,7,40,Huixtla,7_40,1,0.7,-0.11803,32337.48131,51359,Huixtla
193,7,100,Tumbal√°,7_100,NA,0.55,1.50446,19973.94652,31723,Tumbal·
194,7,27,Chiapa de Corzo,7_27,NA,0.694,-0.29992,55158.01271,87603,Chiapa de Corzo
195,7,84,Solosuchiapa,7_84,NA,0.603,0.02853,5078.01528,8065,Solosuchiapa
196,7,16,Catazaj√°,7_16,NA,0.66,-0.30504,10791.96304,17140,Catazaj·
197,7,68,Pichucalco,7_68,NA,0.697,-0.22476,18771.34154,29813,Pichucalco
198,8,61,Satev√≥,8_61,NA,0.583,-0.90792,2865.115294,3662,SatevÛ
199,8,44,Matamoros,8_44,NA,0.703,-1.20553,3519.976436,4499,Matamoros
200,8,2,Aldama,8_2,2,0.721,-1.29688,17448.88074,22302,Aldama
201,8,50,Nuevo Casas Grandes,8_50,NA,0.759,-1.47163,46424.72588,59337,Nuevo Casas Grandes
202,8,15,Coyame del Sotol,8_15,NA,0.656,-0.38088,1315.199019,1681,Coyame del Sotol
203,8,48,Namiquipa,8_48,2,0.668,-1.02715,17901.10266,22880,Namiquipa
204,8,62,Saucillo,8_62,NA,0.694,-1.3794,25290.78424,32325,Saucillo
205,8,52,Ojinaga,8_52,NA,0.708,-1.24491,20580.00893,26304,Ojinaga
206,8,65,Urique,8_65,NA,0.509,2.28555,15949.81987,20386,Urique
207,8,3,Allende,8_3,1,0.724,-1.15904,6579.12466,8409,Allende
208,8,56,Rosario,8_56,NA,0.619,-0.31352,1748.64355,2235,Rosario
209,8,35,Janos,8_35,NA,0.591,-0.23445,8569.526983,10953,Janos
210,8,36,Jim√©nez,8_36,2,0.748,-1.32305,32285.35844,41265,JimÈnez
211,8,46,Morelos,8_46,NA,0.495,3.06018,6527.486864,8343,Morelos
212,8,32,Hidalgo del Parral,8_32,2,0.785,-1.57498,83763.54683,107061,Hidalgo del Parral
213,8,10,Buenaventura,8_10,1,0.667,-0.9213,17508.34245,22378,Buenaventura
214,8,30,Guazapares,8_30,NA,0.567,2.089,7039.952871,8998,Guazapares
215,8,47,Moris,8_47,NA,0.594,1.15301,4156.060197,5312,Moris
216,8,41,Maguarichi,8_41,NA,0.498,1.42489,1502.972823,1921,Maguarichi
217,8,19,Chihuahua,8_19,5,0.806,-1.75207,641202.9446,819543,Chihuahua
218,8,49,Nonoava,8_49,NA,0.627,0.52751,2229.031533,2849,Nonoava
219,8,29,Guadalupe y Calvo,8_29,NA,0.514,2.89451,41857.1281,53499,Guadalupe y Calvo
220,8,16,La Cruz,8_16,NA,0.699,-1.40356,3115.480366,3982,La Cruz
221,8,67,Valle de Zaragoza,8_67,NA,0.65,-0.96363,3994.105291,5105,Valle de Zaragoza
222,8,14,Coronado,8_14,NA,0.683,-1.10751,1786.980702,2284,Coronado
223,8,28,Guadalupe,8_28,NA,0.582,-0.85561,5052.680111,6458,Guadalupe
224,8,13,Casas Grandes,8_13,NA,0.694,-0.91021,8283.171932,10587,Casas Grandes
225,8,7,Balleza,8_7,NA,0.424,2.33185,13826.41111,17672,Balleza
226,8,1,Ahumada,8_1,NA,0.683,-1.04607,8963.851972,11457,Ahumada
227,8,34,Ignacio Zaragoza,8_34,NA,0.674,-1.0869,5425.098156,6934,Ignacio Zaragoza
228,8,66,Uruachi,8_66,NA,0.544,2.36181,6415.604973,8200,Uruachi
229,8,58,San Francisco de Conchos,8_58,NA,0.711,-1.39962,2333.871906,2983,San Francisco de Conchos
230,8,64,El Tule,8_64,NA,0.643,-0.36112,1462.288499,1869,El Tule
231,8,11,Camargo,8_11,NA,0.719,-1.42692,38139.98917,48748,Camargo
232,8,54,Riva Palacio,8_54,NA,0.632,-0.41672,6268.515493,8012,Riva Palacio
233,8,38,Julimes,8_38,NA,0.673,-1.09062,3875.181882,4953,Julimes
234,8,55,Rosales,8_55,1,0.707,-1.25782,13132.43042,16785,Rosales
235,8,12,Carich√≠,8_12,NA,0.531,2.93382,6881.127528,8795,CarichÌ
236,8,21,Delicias,8_21,3,0.788,-1.5586,107919.0819,137935,Delicias
237,8,43,Matach√≠,8_43,NA,0.674,-1.01446,2428.541199,3104,MatachÌ
238,8,4,Aquiles Serd√°n,8_4,NA,0.762,-1.47243,8362.193408,10688,Aquiles Serd·n
239,8,27,Guachochi,8_27,NA,0.527,2.55504,38876.21896,49689,Guachochi
240,8,22,Dr. Belisario Dom√≠nguez,8_22,1,0.665,-0.98574,2277.539765,2911,Dr. Belisario DomÌnguez
241,8,8,Batopilas,8_8,NA,0.387,4.24679,11236.69739,14362,Batopilas
242,8,9,Bocoyna,8_9,1,0.626,0.82217,22506.2552,28766,Bocoyna
243,8,63,Tem√≥sachic,8_63,NA,0.635,0.17116,4859.429571,6211,TemÛsachic
244,8,31,Guerrero,8_31,NA,0.648,-0.49921,31003.01983,39626,Guerrero
245,8,17,Cuauht√©moc,8_17,3,0.722,-1.2928,120988.1387,154639,CuauhtÈmoc
246,8,51,Ocampo,8_51,NA,0.592,0.77973,5903.921356,7546,Ocampo
247,8,20,Ch√≠nipas,8_20,NA,0.579,2.32652,6604.161167,8441,ChÌnipas
248,8,33,Huejotit√°n,8_33,NA,0.63,-0.33455,820.728002,1049,Huejotit·n
249,8,53,Praxedis G. Guerrero,8_53,NA,0.681,-0.88622,3754.693691,4799,Praxedis G. Guerrero
250,8,60,Santa B√°rbara,8_60,NA,0.727,-1.44581,8157.989396,10427,Santa B·rbara
251,8,57,San Francisco de Borja,8_57,NA,0.66,-0.56183,1791.675047,2290,San Francisco de Borja
252,8,45,Meoqui,8_45,NA,0.723,-1.26614,34294.53814,43833,Meoqui
253,8,23,Galeana,8_23,NA,0.691,-0.71307,4609.84689,5892,Galeana
254,8,25,G√≥mez Far√≠as,8_25,NA,0.7,-1.21268,6747.338693,8624,GÛmez FarÌas
255,8,42,Manuel Benavides,8_42,NA,0.626,0.05893,1252.607751,1601,Manuel Benavides
256,8,5,Ascensi√≥n,8_5,NA,0.629,-0.5808,18757.82064,23975,AscensiÛn
257,8,59,San Francisco del Oro,8_59,NA,0.738,-1.40695,3718.703712,4753,San Francisco del Oro
258,8,37,Ju√°rez,8_37,21,0.753,-1.47229,1042247.106,1332131,Ju·rez
259,8,40,Madera,8_40,NA,0.675,-0.72207,23167.37547,29611,Madera
260,8,26,Gran Morelos,8_26,NA,0.676,-0.95454,2510.692239,3209,Gran Morelos
261,8,39,L√≥pez,8_39,NA,0.69,-1.34336,3149.123173,4025,LÛpez
262,8,24,Santa Isabel,8_24,NA,0.689,-1.24697,3080.272778,3937,Santa Isabel
263,8,6,Bach√≠niva,8_6,NA,0.683,-0.78886,4702.951401,6011,BachÌniva
264,8,18,Cusihuiriachi,8_18,NA,0.651,-0.44405,4235.864064,5414,Cusihuiriachi
265,9,10,√Ålvaro Obreg√≥n,9_10,4,0.806,-1.5705,635807.6761,727034,¡lvaro ObregÛn
266,9,12,Tlalpan,9_12,5,0.829,-1.45096,568935.5552,650567,Tlalpan
267,9,15,Cuauht√©moc,9_15,3,0.848,-1.61262,465098.2377,531831,CuauhtÈmoc
268,9,17,Venustiano Carranza,9_17,5,0.816,-1.60876,376900.0083,430978,Venustiano Carranza
269,9,11,Tl√°huac,9_11,1,0.78,-1.42294,315059.8905,360265,Tl·huac
270,9,2,Azcapotzalco,9_2,1,0.832,-1.69943,362674.1489,414711,Azcapotzalco
271,9,3,Coyoac√°n,9_3,5,0.867,-1.72475,542567.8237,620416,Coyoac·n
272,9,13,Xochimilco,9_13,1,0.814,-1.30908,362933.0076,415007,Xochimilco
273,9,4,Cuajimalpa de Morelos,9_4,3,0.825,-1.50041,163003.145,186391,Cuajimalpa de Morelos
274,9,16,Miguel Hidalgo,9_16,1,0.88,-1.76941,326099.864,372889,Miguel Hidalgo
275,9,8,La Magdalena Contreras,9_8,2,0.815,-1.46066,209086.1143,239086,La Magdalena Contreras
276,9,7,Iztapalapa,9_7,12,0.783,-1.41652,1587945.924,1815786,Iztapalapa
277,9,6,Iztacalco,9_6,NA,0.822,-1.62123,336101.7792,384326,Iztacalco
278,9,9,Milpa Alta,9_9,2,0.742,-0.97776,114196.9123,130582,Milpa Alta
279,9,14,Benito Ju√°rez,9_14,NA,0.917,-1.88951,337075.1228,385439,Benito Ju·rez
280,10,18,El Oro,10_18,2,0.685,-0.92836,9014.970781,11320,El Oro
281,10,23,Pueblo Nuevo,10_23,NA,0.645,0.29811,39151.41286,49162,Pueblo Nuevo
282,10,37,Topia,10_37,NA,0.584,1.11214,6833.698257,8581,Topia
283,10,9,Guanacev√≠,10_9,NA,0.61,0.5442,8082.415058,10149,GuanacevÌ
284,10,14,Mezquital,10_14,NA,0.536,3.2565,26595.75656,33396,Mezquital
285,10,5,Durango,10_5,18,0.777,-1.37309,463703.1795,582267,Durango
286,10,34,Tamazula,10_34,NA,0.587,1.63371,20998.82947,26368,Tamazula
287,10,36,Tlahualilo,10_36,NA,0.715,-0.88888,17714.57686,22244,Tlahualilo
288,10,17,Ocampo,10_17,NA,0.693,-0.80128,7665.910666,9626,Ocampo
289,10,32,Santiago Papasquiaro,10_32,NA,0.68,-0.59049,35809.82121,44966,Santiago Papasquiaro
290,10,38,Vicente Guerrero,10_38,NA,0.696,-0.94295,16817.06166,21117,Vicente Guerrero
291,10,25,San Bernardo,10_25,NA,0.635,-0.16851,2733.957128,3433,San Bernardo
292,10,10,Hidalgo,10_10,NA,0.687,-0.92846,3396.541553,4265,Hidalgo
293,10,19,Ot√°ez,10_19,NA,0.576,1.57726,4147.52366,5208,Ot·ez
294,10,6,General Sim√≥n Bol√≠var,10_6,2,0.619,-0.54872,8464.675303,10629,General SimÛn BolÌvar
